Format_Numero,Candidat,Type_Erreur,Détails
13,Alexandre 13,Omission,The 'List of personal interests' is completely absent in the Extraction variant.
13,Camille 13,Omission,The 'List of personal interests' is completely missing in the Extraction.
13,Thomas 13,Omission,"The 'Extraction' is missing the dates and company name for the 'Freelance / Self-employed' experience. Additionally, the 'List of personal interests' is completely absent in the 'Extraction'."
02,Camille 02,Modification,"The 'List of studies' section has a discrepancy in the dates and field for McGill University. The 'Original' lists 'not found' for both, while the 'Extraction' specifies 'Fall 2024' and 'International Relations & Diplomacy'."
04,Thomas 04,Omission,The 'List of personal interests' is completely absent in the Extraction variant.
07,Camille 07,Omission,The job title 'International Humanitarian Mission' is missing in the extraction for the experience with 'NGO Education For All'.
08,Camille 08,Modification,"The job title 'International Humanitarian Mission' is missing in the extraction for the NGO experience. The description for the 'Public Affairs Intern' role at the City Hall of Bordeaux is significantly different, with financial management details not present in the original."
09,Camille 09,Omission,The 'International Humanitarian Mission' experience in Senegal is missing from the Extraction.
10,Camille 10,Omission,The 'Extraction' is missing the 'International Humanitarian Mission' experience in Senegal from the 'Original'.
12,Alexandre 12,Omission,The 'List of personal interests' is completely missing in the Extraction.
