"Name";"List of interests-value";"List of studies-value";"Professional Experience-value"
"thomasl 20";"[{""desc"":""(Backpacking road-trip in Southeast Asia.)"",""title"":""Travel""},{""desc"":""(Running (Paris Half-Marathon).)"",""title"":""Sports""},{""desc"":""(Tech Blogger (AI and NoCode).)"",""title"":""Tech""}]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web, Lyon"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""01/2025 - 06/2025"",""company"":""'PayFast' FinTech"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":"". Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management."",""country or city"":""Paris""},{""dates"":""01/2024 - 01/2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed"",""description"":""· Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasl 19";"[{""desc"":""(Backpacking road-trip in Southeast Asia.)"",""title"":""Travel""},{""desc"":""(Running (Paris Half-Marathon).)"",""title"":""Sports""},{""desc"":""(Tech Blogger (AI and NoCode).)"",""title"":""Tech""}]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web, Lyon"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""01/2025 - 06/2025"",""company"":""'PayFast' FinTech"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":"". Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management."",""country or city"":""Paris""},{""dates"":""01/2024 - 01/2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed"",""description"":""· Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasl 18";"[{""desc"":""(Backpacking road-trip in Southeast Asia.)"",""title"":""Travel""},{""desc"":""(Running (Paris Half-Marathon).)"",""title"":""Sports""},{""desc"":""(Tech Blogger (AI and NoCode).)"",""title"":""Tech""}]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web, Lyon"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""01/2025 - 06/2025"",""company"":""'PayFast' FinTech"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""· Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management."",""country or city"":""Paris""},{""dates"":""01/2024 - 01/2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed"",""description"":""· Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasl 17";"[{""desc"":""(Backpacking road-trip in Southeast Asia.)"",""title"":""Travel""},{""desc"":""(Running (Paris Half-Marathon).)"",""title"":""Sports""},{""desc"":""(Tech Blogger (AI and NoCode).)"",""title"":""Tech""}]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web, Lyon"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""01/2025 - 06/2025"",""company"":""'PayFast' FinTech"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""· Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management."",""country or city"":""Paris""},{""dates"":""01/2024 - 01/2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed"",""description"":""· Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasl 16";"[{""desc"":""Backpacking road-trip in Southeast Asia."",""title"":""Travel""},{""desc"":""Running (Paris Half-Marathon)."",""title"":""Sports""},{""desc"":""Tech Blogger (AI and NoCode)."",""title"":""Tech""}]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web, Lyon"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""01/2025 - 06/2025"",""company"":""'PayFast' FinTech"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":""· Contributed to the Go-to-market strategy for the launch of a new B2B offer.\nGrowth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week).\nVideo content creation and social media management."",""country or city"":""Paris""},{""dates"":""01/2024 - 01/2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed"",""description"":""· Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook\nAds campaigns (Budget €2k, ROI x3). Full client relationship management: Brief-\ning, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasl 15";"[{""desc"":""(Backpacking road-trip in Southeast Asia.)"",""title"":""Travel""},{""desc"":""(Running (Paris Half-Marathon).)"",""title"":""Sports""},{""desc"":""(Tech Blogger (AI and NoCode).)"",""title"":""Tech""}]";"[{""dates"":""2023 - 2026"",""field"":""not found"",""university"":""IUT Lyon 1 / École du Web, Lyon"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Digital Project Management""}]";"[{""dates"":""01/2025 - 06/2025"",""company"":""'PayFast' FinTech"",""job title"":""CEO's Right Hand / Executive Intern"",""description"":"". Contributed to the Go-to-market strategy for the launch of a new B2B offer. Growth Hacking: Automating LinkedIn prospecting (+30 qualified leads/week). Video content creation and social media management."",""country or city"":""Paris""},{""dates"":""01/2024 - 01/2026"",""company"":""not found"",""job title"":""Freelancer / Self-Employed"",""description"":""· Designed websites for 5 local SMEs (WordPress & Shopify). Managed Facebook Ads campaigns (Budget €2k, ROI x3). Full client relationship management: Briefing, quoting, and invoicing."",""country or city"":""Lyon""}]"
"thomasg 20";"[{""desc"":""Startup communities and innovation events."",""title"":""Entrepreneurship""},{""desc"":""Competitive sailing (6 years)."",""title"":""Sports""}]";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes, Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2020 - 2021"",""field"":""Maths & Economics"",""university"":""Lycée Clémenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat""}]}";"[{""dates"":""01/2023 - 01/2026"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""· Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""06/2023 - 08/2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""· Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasg 19";"[{""desc"":""Startup communities and innovation events."",""title"":""Entrepreneurship""},{""desc"":""Competitive sailing (6 years)."",""title"":""Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes, Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Clémenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Maths & Economics)""}]";"[{""dates"":""01/2023 - 01/2026"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":"". Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""06/2023 - 08/2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":"". Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasg 18";"[{""desc"":""Startup communities and innovation events."",""title"":""Entrepreneurship""},{""desc"":""Competitive sailing (6 years)."",""title"":""Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes, Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Clémenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Maths & Economics)""}]";"[{""dates"":""01/2023 - 01/2026"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""· Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""06/2023 - 08/2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""· Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
"thomasg 17";"[{""desc"":""Startup communities and innovation events."",""title"":""Entrepreneurship""},{""desc"":""Competitive sailing (6 years)."",""title"":""Sports""}]";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University of Nantes, Nantes"",""country or city"":""not found"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""2020 - 2021"",""field"":""not found"",""university"":""Lycée Clémenceau, Nantes"",""country or city"":""not found"",""level_of_degree"":""Baccalauréat (Maths & Economics)""}]";"[{""dates"":""01/2023 - 01/2026"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""· Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes""},{""dates"":""06/2023 - 08/2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""· Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes""}]"
